phase_id;from;state
6;5;rrrrrrYYYYyrrrrrrrrrrYYrYGrYr,rrrrrrrrrrrrrrryYYYYyrrYrGYrY
6;6;rrrrrrrrrrrrrrrgGGGGgrrGrGGrG
6;7;rrrrrrrrrrrYYYyrrrrrrYrGYrGYr,rrrrrrrrrrrrrrryYYYYyrrGrYGrY
6;8;yYYYYyrrrrrrrrrrrrrrrrYGrGrYG,rrrrrrrrrrrrrrryYYYYyrrGrGYrG
7;0;rrrrrrrrrrrYYYyrrrrrrYrYYrYYr
7;1;rrrrrrrrYYyrrrrrrrrYyGrrrYrrr,rrrrrrrrrrrYYYyrrrrrrGrYYrYYr
7;2;rrrrrrYYrrrrrrryYYYrrGYrrYGrr,rrrrrrrrrrrYYYyrrrrrrGrYYrGYr
7;3;rrrYYyrrrrrrrGgrrrrrrrYGrrGGr,rrrrrrrrrrrYYGgrrrrrrYrGYrGGr
7;4;yYYrrrrrrrrGGrrrrrrrrrrGGrrGY,rrrrrrrrrrrGGYyrrrrrrYrGGrYGr
7;5;rrrrrrYYYYyrrrrrrrrrrGYrGYrGr,rrrrrrrrrrrYYYyrrrrrrGrYGrYGr
7;6;rrrrrrrrrrrrrrryYYYYyrrGrYGrY,rrrrrrrrrrrYYYyrrrrrrYrGYrGYr
7;7;rrrrrrrrrrrGGGgrrrrrrGrGGrGGr
7;8;yYYYyrrrrrrrrrrrrrrrrGYrGrGG,rrrrrrrrrrrYYYyrrrrrrGrYGrGGr
8;0;yYYYyrrrrrrrrrrrrrrrrYYrYrYY
8;1;rrrrrrrrYYyrrrrrrrrYyYrrrGrrr,gYYYYyrrrrrrrrrrrrrrrrYYrGrYY
8;2;rrrrrrYYrrrrrrryYYYrrYGrrGYrr,yYYYYyrrrrrrrrrrrrrrrrGYrGrYY
8;3;rrrGGgrrrrrrrYyrrrrrrrGGrrYGr,gYYGGgrrrrrrrrrrrrrrrrGGrYrGY
8;4;gGGrrrrrrrrYYrrrrrrrrrrGYrrGG,gGGYYyrrrrrrrrrrrrrrrrYGrYrGG
8;5;rrrrrrYYYYyrrrrrrrrrrYGrYGrGr,yYYYYyrrrrrrrrrrrrrrrrGYrGrGY
8;6;rrrrrrrrrrrrrrryYYYYyrrGrGYrG,yYYYYyrrrrrrrrrrrrrrrrYGrGrYG
8;7;rrrrrrrrrrrYYYyrrrrrrGrYGrGGr,yYYYyrrrrrrrrrrrrrrrrGYrGrGG
8;8;gGGGGgrrrrrrrrrrrrrrrrGGrGrGG
